Experiment name:,NeuLog experiment
Duration:, 1 Hours
Rate:, 5 per second
Sensors:, GSR (ID 1  Exp 1)
Range:, \xc2\xb5S 0 - 10
Units:, \xc2\xb5S
Time
'-0:0:0.0,1.1746
'0:0:0.2,1.1742
'0:0:0.4,1.1735
'0:0:0.6,1.1729
'0:0:0.8,1.1724
'0:0:1.0,1.1719
'0:0:1.2,1.1711
'0:0:1.4,1.1703
'0:0:1.6,1.1699
'0:0:1.8,1.1692
'0:0:2.0,1.1687
'0:0:2.2,1.1681
'0:0:2.4,1.1676
'0:0:2.6,1.1672
'0:0:2.8,1.1668
'0:0:3.0,1.1664
'0:0:3.2,1.1658
'0:0:3.4,1.1657
'0:0:3.6,1.1653
'0:0:3.8,1.1650
'0:0:4.0,1.1647
'0:0:4.2,1.1643
'0:0:4.4,1.1638
'0:0:4.6,1.1634
'0:0:4.8,1.1627
'0:0:5.0,1.1622
'0:0:5.2,1.1617
'0:0:5.4,1.1610
'0:0:5.6,1.1603
'0:0:5.8,1.1595
'0:0:6.0,1.1591
'0:0:6.2,1.1586
'0:0:6.4,1.1580
'0:0:6.6,1.1574
'0:0:6.8,1.1568
'0:0:7.0,1.1562
'0:0:7.2,1.1555
'0:0:7.4,1.1551
'0:0:7.6,1.1547
'0:0:7.8,1.1540
'0:0:8.0,1.1538
'0:0:8.2,1.1533
'0:0:8.4,1.1527
'0:0:8.6,1.1523
'0:0:8.8,1.1521
'0:0:9.0,1.1516
'0:0:9.2,1.1512
'0:0:9.4,1.1512
'0:0:9.6,1.1506
'0:0:9.8,1.1499
'0:0:10.0,1.1494
'0:0:10.2,1.1489
'0:0:10.4,1.1484
'0:0:10.6,1.1479
'0:0:10.8,1.1473
'0:0:11.0,1.1473
'0:0:11.2,1.1470
'0:0:11.4,1.1464
'0:0:11.6,1.1461
'0:0:11.8,1.1457
'0:0:12.0,1.1455
'0:0:12.2,1.1453
'0:0:12.4,1.1454
'0:0:12.6,1.1452
'0:0:12.8,1.1443
'0:0:13.0,1.1437
'0:0:13.2,1.1430
'0:0:13.4,1.1425
'0:0:13.6,1.1419
'0:0:13.8,1.1413
'0:0:14.0,1.1408
'0:0:14.2,1.1400
'0:0:14.4,1.1395
'0:0:14.6,1.1391
'0:0:14.8,1.1387
'0:0:15.0,1.1379
'0:0:15.2,1.1376
'0:0:15.4,1.1370
'0:0:15.6,1.1366
'0:0:15.8,1.1363
'0:0:16.0,1.1362
'0:0:16.2,1.1359
'0:0:16.4,1.1356
'0:0:16.6,1.1351
'0:0:16.8,1.1346
'0:0:17.0,1.1341
'0:0:17.2,1.1337
'0:0:17.4,1.1334
'0:0:17.6,1.1331
'0:0:17.8,1.1328
'0:0:18.0,1.1324
'0:0:18.2,1.1321
'0:0:18.4,1.1317
'0:0:18.6,1.1309
'0:0:18.8,1.1303
'0:0:19.0,1.1297
'0:0:19.2,1.1291
'0:0:19.4,1.1288
'0:0:19.6,1.1282
'0:0:19.8,1.1278
'0:0:20.0,1.1274
'0:0:20.2,1.1269
'0:0:20.4,1.1263
'0:0:20.6,1.1257
'0:0:20.8,1.1250
'0:0:21.0,1.1244
'0:0:21.2,1.1238
'0:0:21.4,1.1231
'0:0:21.6,1.1224
'0:0:21.8,1.1217
'0:0:22.0,1.1212
'0:0:22.2,1.1207
'0:0:22.4,1.1200
'0:0:22.6,1.1194
'0:0:22.8,1.1186
'0:0:23.0,1.1181
'0:0:23.2,1.1176
'0:0:23.4,1.1168
'0:0:23.6,1.1162
'0:0:23.8,1.1158
'0:0:24.0,1.1153
'0:0:24.2,1.1147
'0:0:24.4,1.1142
'0:0:24.6,1.1135
'0:0:24.8,1.1128
'0:0:25.0,1.1121
'0:0:25.2,1.1116
'0:0:25.4,1.1106
'0:0:25.6,1.1100
'0:0:25.8,1.1098
'0:0:26.0,1.1094
'0:0:26.2,1.1087
'0:0:26.4,1.1083
'0:0:26.6,1.1079
'0:0:26.8,1.1072
'0:0:27.0,1.1069
'0:0:27.2,1.1063
'0:0:27.4,1.1057
'0:0:27.6,1.1052
'0:0:27.8,1.1046
'0:0:28.0,1.1040
'0:0:28.2,1.1033
'0:0:28.4,1.1029
'0:0:28.6,1.1026
'0:0:28.8,1.1024
'0:0:29.0,1.1027
'0:0:29.2,1.1033
'0:0:29.4,1.1035
'0:0:29.6,1.1042
'0:0:29.8,1.1052
'0:0:30.0,1.1062
'0:0:30.2,1.1066
'0:0:30.4,1.1071
'0:0:30.6,1.1069
'0:0:30.8,1.1065
'0:0:31.0,1.1063
'0:0:31.2,1.1058
'0:0:31.4,1.1052
'0:0:31.6,1.1046
'0:0:31.8,1.1040
'0:0:32.0,1.1034
'0:0:32.2,1.1024
'0:0:32.4,1.1019
'0:0:32.6,1.1012
'0:0:32.8,1.1004
'0:0:33.0,1.0996
'0:0:33.2,1.0990
'0:0:33.4,1.0983
'0:0:33.6,1.0977
'0:0:33.8,1.0975
'0:0:34.0,1.0975
'0:0:34.2,1.0965
'0:0:34.4,1.0958
'0:0:34.6,1.0952
'0:0:34.8,1.0945
'0:0:35.0,1.0944
'0:0:35.2,1.0944
'0:0:35.4,1.0946
'0:0:35.6,1.0950
'0:0:35.8,1.0953
'0:0:36.0,1.0956
'0:0:36.2,1.0955
'0:0:36.4,1.0955
'0:0:36.6,1.0954
'0:0:36.8,1.0952
'0:0:37.0,1.0947
'0:0:37.2,1.0942
'0:0:37.4,1.0937
'0:0:37.6,1.0932
'0:0:37.8,1.0927
'0:0:38.0,1.0921
'0:0:38.2,1.0917
'0:0:38.4,1.0914
'0:0:38.6,1.0915
'0:0:38.8,1.0922
'0:0:39.0,1.0928
'0:0:39.2,1.0932
'0:0:39.4,1.0933
'0:0:39.6,1.0930
'0:0:39.8,1.0922
'0:0:40.0,1.0911
'0:0:40.2,1.0904
'0:0:40.4,1.0898
'0:0:40.6,1.0893
'0:0:40.8,1.0888
'0:0:41.0,1.0883
'0:0:41.2,1.0880
'0:0:41.4,1.0876
'0:0:41.6,1.0874
'0:0:41.8,1.0871
'0:0:42.0,1.0865
'0:0:42.2,1.0860
'0:0:42.4,1.0854
'0:0:42.6,1.0849
'0:0:42.8,1.0841
'0:0:43.0,1.0834
'0:0:43.2,1.0827
'0:0:43.4,1.0815
'0:0:43.6,1.0808
'0:0:43.8,1.0801
'0:0:44.0,1.0793
'0:0:44.2,1.0786
'0:0:44.4,1.0780
'0:0:44.6,1.0773
'0:0:44.8,1.0765
'0:0:45.0,1.0758
'0:0:45.2,1.0750
'0:0:45.4,1.0741
'0:0:45.6,1.0734
'0:0:45.8,1.0725
'0:0:46.0,1.0717
'0:0:46.2,1.0711
'0:0:46.4,1.0709
'0:0:46.6,1.0708
'0:0:46.8,1.0710
'0:0:47.0,1.0713
'0:0:47.2,1.0715
'0:0:47.4,1.0719
'0:0:47.6,1.0724
'0:0:47.8,1.0729
'0:0:48.0,1.0730
'0:0:48.2,1.0730
'0:0:48.4,1.0727
'0:0:48.6,1.0723
'0:0:48.8,1.0723
'0:0:49.0,1.0729
'0:0:49.2,1.0743
'0:0:49.4,1.0759
'0:0:49.6,1.0778
'0:0:49.8,1.0795
'0:0:50.0,1.0807
'0:0:50.2,1.0816
'0:0:50.4,1.0821
'0:0:50.6,1.0823
'0:0:50.8,1.0824
'0:0:51.0,1.0824
'0:0:51.2,1.0820
'0:0:51.4,1.0815
'0:0:51.6,1.0809
'0:0:51.8,1.0802
'0:0:52.0,1.0793
'0:0:52.2,1.0782
'0:0:52.4,1.0774
'0:0:52.6,1.0763
'0:0:52.8,1.0752
'0:0:53.0,1.0743
'0:0:53.2,1.0732
'0:0:53.4,1.0721
'0:0:53.6,1.0711
'0:0:53.8,1.0699
'0:0:54.0,1.0691
'0:0:54.2,1.0680
'0:0:54.4,1.0672
'0:0:54.6,1.0663
'0:0:54.8,1.0653
'0:0:55.0,1.0644
'0:0:55.2,1.0636
'0:0:55.4,1.0628
'0:0:55.6,1.0622
'0:0:55.8,1.0616
'0:0:56.0,1.0607
'0:0:56.2,1.0601
'0:0:56.4,1.0594
'0:0:56.6,1.0589
'0:0:56.8,1.0583
'0:0:57.0,1.0578
'0:0:57.2,1.0575
'0:0:57.4,1.0569
'0:0:57.6,1.0565
'0:0:57.8,1.0562
'0:0:58.0,1.0558
'0:0:58.2,1.0554
'0:0:58.4,1.0550
'0:0:58.6,1.0547
'0:0:58.8,1.0540
'0:0:59.0,1.0535
'0:0:59.2,1.0533
'0:0:59.4,1.0530
'0:0:59.6,1.0526
'0:0:59.8,1.0519
'0:1:0.0,1.0515
'0:1:0.2,1.0511
'0:1:0.4,1.0506
'0:1:0.6,1.0499
'0:1:0.8,1.0493
'0:1:1.0,1.0487
'0:1:1.2,1.0480
'0:1:1.4,1.0478
'0:1:1.6,1.0474
'0:1:1.8,1.0472
'0:1:2.0,1.0468
'0:1:2.2,1.0464
'0:1:2.4,1.0460
'0:1:2.6,1.0456
'0:1:2.8,1.0450
'0:1:3.0,1.0446
'0:1:3.2,1.0440
'0:1:3.4,1.0434
'0:1:3.6,1.0429
'0:1:3.8,1.0426
'0:1:4.0,1.0421
'0:1:4.2,1.0414
'0:1:4.4,1.0407
'0:1:4.6,1.0399
'0:1:4.8,1.0392
'0:1:5.0,1.0387
'0:1:5.2,1.0383
'0:1:5.4,1.0378
'0:1:5.6,1.0372
'0:1:5.8,1.0364
'0:1:6.0,1.0360
'0:1:6.2,1.0355
'0:1:6.4,1.0351
'0:1:6.6,1.0341
'0:1:6.8,1.0335
'0:1:7.0,1.0327
'0:1:7.2,1.0320
'0:1:7.4,1.0313
'0:1:7.6,1.0309
'0:1:7.8,1.0303
'0:1:8.0,1.0295
'0:1:8.2,1.0290
'0:1:8.4,1.0286
'0:1:8.6,1.0280
'0:1:8.8,1.0274
'0:1:9.0,1.0267
'0:1:9.2,1.0263
'0:1:9.4,1.0256
'0:1:9.6,1.0247
'0:1:9.8,1.0242
'0:1:10.0,1.0238
'0:1:10.2,1.0232
'0:1:10.4,1.0228
'0:1:10.6,1.0221
'0:1:10.8,1.0215
'0:1:11.0,1.0208
'0:1:11.2,1.0205
'0:1:11.4,1.0201
'0:1:11.6,1.0195
'0:1:11.8,1.0193
'0:1:12.0,1.0184
'0:1:12.2,1.0178
'0:1:12.4,1.0171
'0:1:12.6,1.0166
'0:1:12.8,1.0160
'0:1:13.0,1.0157
'0:1:13.2,1.0156
'0:1:13.4,1.0161
'0:1:13.6,1.0162
'0:1:13.8,1.0158
'0:1:14.0,1.0150
'0:1:14.2,1.0142
'0:1:14.4,1.0136
'0:1:14.6,1.0127
'0:1:14.8,1.0120
'0:1:15.0,1.0111
'0:1:15.2,1.0104
'0:1:15.4,1.0096
'0:1:15.6,1.0092
'0:1:15.8,1.0085
'0:1:16.0,1.0078
'0:1:16.2,1.0074
'0:1:16.4,1.0069
'0:1:16.6,1.0063
'0:1:16.8,1.0057
'0:1:17.0,1.0051
'0:1:17.2,1.0047
'0:1:17.4,1.0043
'0:1:17.6,1.0038
'0:1:17.8,1.0034
'0:1:18.0,1.0030
'0:1:18.2,1.0021
'0:1:18.4,1.0017
'0:1:18.6,1.0012
'0:1:18.8,1.0007
'0:1:19.0,1.0002
'0:1:19.2,0.9995
'0:1:19.4,0.9990
'0:1:19.6,0.9983
'0:1:19.8,0.9978
'0:1:20.0,0.9973
'0:1:20.2,0.9966
'0:1:20.4,0.9958
'0:1:20.6,0.9955
'0:1:20.8,0.9951
'0:1:21.0,0.9946
'0:1:21.2,0.9941
'0:1:21.4,0.9937
'0:1:21.6,0.9932
'0:1:21.8,0.9928
'0:1:22.0,0.9925
'0:1:22.2,0.9920
'0:1:22.4,0.9915
'0:1:22.6,0.9908
'0:1:22.8,0.9903
'0:1:23.0,0.9895
'0:1:23.2,0.9887
'0:1:23.4,0.9883
'0:1:23.6,0.9878
'0:1:23.8,0.9870
'0:1:24.0,0.9864
'0:1:24.2,0.9858
'0:1:24.4,0.9852
'0:1:24.6,0.9845
'0:1:24.8,0.9839
'0:1:25.0,0.9832
'0:1:25.2,0.9823
'0:1:25.4,0.9819
'0:1:25.6,0.9814
'0:1:25.8,0.9807
'0:1:26.0,0.9802
'0:1:26.2,0.9795
'0:1:26.4,0.9790
'0:1:26.6,0.9782
'0:1:26.8,0.9776
'0:1:27.0,0.9771
'0:1:27.2,0.9764
'0:1:27.4,0.9759
'0:1:27.6,0.9751
'0:1:27.8,0.9746
'0:1:28.0,0.9739
'0:1:28.2,0.9732
'0:1:28.4,0.9727
'0:1:28.6,0.9722
'0:1:28.8,0.9716
'0:1:29.0,0.9707
'0:1:29.2,0.9703
'0:1:29.4,0.9699
'0:1:29.6,0.9692
'0:1:29.8,0.9684
'0:1:30.0,0.9678
'0:1:30.2,0.9671
'0:1:30.4,0.9664
'0:1:30.6,0.9660
'0:1:30.8,0.9655
'0:1:31.0,0.9648
'0:1:31.2,0.9644
'0:1:31.4,0.9639
'0:1:31.6,0.9635
'0:1:31.8,0.9631
'0:1:32.0,0.9627
'0:1:32.2,0.9621
'0:1:32.4,0.9617
'0:1:32.6,0.9614
'0:1:32.8,0.9608
'0:1:33.0,0.9602
'0:1:33.2,0.9596
'0:1:33.4,0.9590
'0:1:33.6,0.9584
'0:1:33.8,0.9581
'0:1:34.0,0.9576
'0:1:34.2,0.9572
'0:1:34.4,0.9568
'0:1:34.6,0.9564
'0:1:34.8,0.9561
'0:1:35.0,0.9565
'0:1:35.2,0.9566
'0:1:35.4,0.9562
'0:1:35.6,0.9555
'0:1:35.8,0.9546
'0:1:36.0,0.9538
'0:1:36.2,0.9529
'0:1:36.4,0.9520
'0:1:36.6,0.9511
'0:1:36.8,0.9503
'0:1:37.0,0.9499
'0:1:37.2,0.9491
'0:1:37.4,0.9486
'0:1:37.6,0.9481
'0:1:37.8,0.9476
'0:1:38.0,0.9470
'0:1:38.2,0.9468
'0:1:38.4,0.9461
'0:1:38.6,0.9452
'0:1:38.8,0.9440
'0:1:39.0,0.9436
'0:1:39.2,0.9419
'0:1:39.4,0.9285
'0:1:39.6,0.9303
'0:1:39.8,0.9359
'0:1:40.0,0.9350
'0:1:40.2,0.9348
'0:1:40.4,0.9345
'0:1:40.6,0.9364
'0:1:40.8,0.9342
'0:1:41.0,0.9324
'0:1:41.2,0.9318
'0:1:41.4,0.9326
'0:1:41.6,0.9315
'0:1:41.8,0.9306
'0:1:42.0,0.9311
'0:1:42.2,0.9307
'0:1:42.4,0.9302
'0:1:42.6,0.9283
'0:1:42.8,0.9280
'0:1:43.0,0.9283
'0:1:43.2,0.9278
'0:1:43.4,0.9271
'0:1:43.6,0.9265
'0:1:43.8,0.9259
'0:1:44.0,0.9253
'0:1:44.2,0.9250
'0:1:44.4,0.9245
'0:1:44.6,0.9233
'0:1:44.8,0.9227
'0:1:45.0,0.9223
'0:1:45.2,0.9212
